【美容家・千波監修! 】無添加MIX煎り豆,82,終了,634620,300000,「おやつ」は食事とは別で、余分にとるものだからこそ余計なものは少なく、体に良いものを。むしろ、おやつで不足しがちな栄養を補えるもの、というコンセプトで考えました。,https://camp-fire.jp/projects/view/349098?list=search_result_projects_popular_page2
ホエイパウダー1.5トン廃棄間近！100％天然入浴剤として使ってほしい！！,12,終了,44800,200000,コロナでジムに通うことが減り、プロテインの原料であるホエイパウダーが廃棄されています。ホエイパウダーは、老若男女問わず健康・美容に役立つ乳製品です！！牛の多大な労力を無駄にしないために、今回入浴剤として提供します！クレオパトラも美を保つためにミルク風呂に入っていました！是非お試しください！！,https://camp-fire.jp/projects/view/362407?list=search_result_projects_popular_page2
【ワーク×ワークアウト】ストイックに頑張る人に向けたカフェを開きます！！,31,終了,147000,250000,2021年1月から神奈川県川崎市で「ストイックカフェ」をオープン致します。間借り営業の為、7:00~9:00と18:00~21:00の2部営業です。勉強やトレーニングを頑張る方に向けて、快適な空間とバナナプロテインスムージー等を提供します。良いサービス提供の為、お力を貸して頂ければ幸いです。,https://camp-fire.jp/projects/view/360438?list=search_result_projects_popular_page2
鹿児島からプロ総合格闘家が世界最高峰UFCを目指して上京します！,12,終了,164000,1000000,鹿児島から上京するプロ総合格闘家です。所属の総合格闘技団体パンクラスで結果を残して、チャンピオンベルトを獲ります。また世界最高峰団体UFCに挑戦するために上京を決めました。鹿児島から世界を目指します！,https://camp-fire.jp/projects/view/352492?list=search_result_projects_popular_page2
タイ　和牛生産　プロジェクト,1,終了,30000,2000000,私たち「タイ・ロップリー WAGYU和牛プロジェクト」は、高い水準を誇る日本の農業、畜産業の卓越した技術を、タイ・ロップリーの農協や地方自治体と協業し、タイWAGYU専用牧場／牛舎、乳牛の飼育、牧草地の開墾をします！井戸を掘るために200万円が必要です！（調査費、移動堀機材全て含む）,https://camp-fire.jp/projects/view/357264?list=search_result_projects_popular_page2
未来への希望に満ち溢れた学生が集う、最高にアツくて面白いジムを京都に創りたい！！,455,終了,3970080,3000000,『フィットネス』×『人との繋がり』は無限大の可能性がある。ジムでの出会いや経験から、将来へのワクワクが止まらない学生を増やすことが僕たちの目標です。ここ『Sail KYOTO』は、学生の筋トレとコミュニティづくりを提供することで、日本だけでなく世界中を明るくする学生を輩出する港となります。,https://camp-fire.jp/projects/view/339342?list=search_result_projects_popular_page2
すべての人に「チカラ」を与えるBean to Bar ブランド「RACATI」,145,終了,1042900,300000,チョコレートのチカラで、RACATIに関わる人達のさまざまなチカラをサポートしたい。世界中の産地から集めたカカオと地元香川名産の和三盆でチョコレートを手作りしています。,https://camp-fire.jp/projects/view/338831?list=search_result_projects_popular_page2
追求したのは肌の成分吸収。世界最小、ナノバブルウォーター配合ジェル完成。,5,終了,123500,585000,生まれたてのお肌。いつまでも綺麗でいたい。色々な化粧品があるけど、どれがいいのか。すぐに効果があるってなんだか嘘くさいな・・色々といい成分があるみたいだけど・・本当にいい成分だけど、肌に届かなければ意味がない。そんな思いから、『SalaHime』オールインワンジェルのプロジェクトはスタートしました。,https://camp-fire.jp/projects/view/310018?list=search_result_projects_popular_page2
料理をもっと自由に！場所を選ばずストレスフリーな充電式コードレスハンドブレンダー,-,-,-,3000000,混ぜる・潰す・砕く・刻む・みじん切り・泡立ての一台5役のハンドブレンダーより、充電式コードレスタイプが登場！毎日のお料理の下ごしらえや離乳食づくりはもちろん、コードレスなので外出先での離乳食づくりや介護食づくりにとても重宝します。アウトドアでも大活躍！,https://camp-fire.jp/projects/view/341721?list=search_result_projects_popular_page2
【自宅で出来るソイプロテインエステ】エンジェルビューティープロテイン,10,終了,64900,300000,これまで多くの女性を美しくしてきたエステティシャンが、感染症の影響によりエステサロンに通うことが叶わなくなった女性の美を守るために開発したソイプロテイン、その名も【エンジェル　ビューティー　プロテイン】。植物由来のたんぱく質で身体の内側からきれいをサポートします。,https://camp-fire.jp/projects/view/325077?list=search_result_projects_popular_page2
ニュージーランド発、ベビー＆キッズ向けオーガニックスキンケアブランド日本初上陸！,3,終了,6300,1000000,肌の弱いお子さんにも安心して毎日使える、オーガニックの世界統一基準ECOCERT・COSMOS認定原料のエンドウ豆から抽出した天然ピープロテインを使用したKiddly。,https://camp-fire.jp/projects/view/327930?list=search_result_projects_popular_page2
利用料をできる限り安く！ジム、パーソナルトレーニングを身近に！,-,-,-,1250000,利用料を安くすることでたくさんの人へジム、パーソナルトレーニングを身近に感じていただきたいです！中規模ジムを展開することで、会員様全員にプライベートな空間と飽きないトレーニングブースを提供し、BODYMAKEを中心に、医学的根拠を持った意味のあるパーソナルトレーニングを広めていきたいです。,https://camp-fire.jp/projects/view/339546?list=search_result_projects_popular_page2
【プロテインで世界を健康に】無農薬牧草グラスフェッドプロテイン×青汁,-,-,-,500000,近年海外産の安価なプロテインが人気です。しかし添加物や農薬の残留などの不安が…一生ものの身体です。金額だけで選んでしまって本当にいいんですか？【本当に体に優しいプロテインを広めたい】【プロテインを通じて世界中を健康にしたい】これが私のこのプロジェクトに対する想いです。,https://camp-fire.jp/projects/view/303011?list=search_result_projects_popular_page2
北海道のオーガニックそば粉を全国に広めたい！一粒のそば実の可能性にチャレンジ！,37,終了,305500,600000,日本のそば生産量の約40％を占める一大産地である北海道から、オーガニック（有機）そば粉を全国に広めるためにプロジェクトを立ち上げました。一粒一粒を丁寧に加工して作り上げた商品を、より多くの方々に味わっていただきたいと思います！,https://camp-fire.jp/projects/view/322198?list=search_result_projects_popular_page2
